Geneid mock_infected1_S1 mock_infected2_S5 mock_infected9_S9 IFNb_treated12_S12 IFNb_treated2_S8 IFNb_treated4_S4
ENSG00000009307 16413 15362 13711 16866 21423 16054
ENSG00000009335 4245 4630 3781 5507 4683 3621
ENSG00000009413 4171 3415 3246 2612 7317 5122
ENSG00000009694 0 0 0 0 1 0
ENSG00000009709 0 0 0 0 0 0
ENSG00000009724 0 0 0 2 1 1
ENSG00000009765 0 0 0 0 0 0
ENSG00000009780 256 296 262 369 585 462
ENSG00000009790 0 1 0 0 0 1
ENSG00000009830 1073 1291 1046 1233 1178 984
ENSG00000009844 1835 1604 1629 2155 2644 2074
ENSG00000009950 0 2 0 1 0 1
ENSG00000009954 4479 4363 3787 4397 5424 4059
ENSG00000010017 2062 2269 1815 1516 2239 1558
ENSG00000010030 53 64 52 1785 2223 1957
ENSG00000010072 400 369 314 382 372 305
ENSG00000010165 1586 1660 1439 1987 1600 1381
ENSG00000010219 514 532 455 474 639 497
ENSG00000010244 4022 4104 3746 5073 5662 4319
ENSG00000010256 5182 5655 4972 4852 4543 4219
ENSG00000010270 1360 1349 1232 1494 1441 1230
ENSG00000010278 5996 6494 5355 4173 6270 4941
ENSG00000010282 0 0 1 0 0 0
ENSG00000010292 3577 3839 3383 1697 2781 2243
ENSG00000010295 1984 2616 1855 1316 2064 1802
ENSG00000010310 13 17 12 0 14 9
ENSG00000010318 76 111 91 39 71 60
ENSG00000010319 1 4 2 3 3 1
ENSG00000010322 2907 3603 2667 1718 2749 2287
ENSG00000010327 3 2 1 0 4 2
ENSG00000010361 398 493 375 240 292 302
ENSG00000010379 0 0 0 0 0 0
ENSG00000010404 3104 3414 2800 2954 3733 2830
ENSG00000010438 1500 1604 1473 847 908 754
ENSG00000010539 249 285 257 297 317 252
ENSG00000010610 7 4 0 4 2 2
ENSG00000010626 178 144 138 82 135 116
ENSG00000010671 1 0 0 0 2 0
ENSG00000010704 876 833 763 937 1483 1118
ENSG00000010803 1103 1191 940 593 1014 677
ENSG00000010810 1558 1737 1411 1563 1674 1317
ENSG00000010818 1682 1561 1527 2859 2131 1599
ENSG00000010932 0 0 0 0 1 0
ENSG00000011007 2451 2765 2273 3301 3384 2569
ENSG00000011009 1593 1764 1594 1668 1655 1406
ENSG00000011021 945 1023 868 880 1338 1049
ENSG00000011028 46178 58245 44477 41625 48232 42691
ENSG00000011052 0 0 0 0 0 0
ENSG00000011083 2 1 0 0 0 0
ENSG00000011105 2898 3441 2664 3200 2552 2249
ENSG00000011114 1664 1544 1321 1242 1477 1100
ENSG00000011132 549 754 595 603 518 480
ENSG00000011143 323 333 295 149 272 248
ENSG00000011198 1258 1173 1029 1359 1533 1148
ENSG00000011201 3 2 2 11 2 0
ENSG00000011243 1229 1510 1155 1379 1810 1423
ENSG00000011258 325 277 278 352 395 289
ENSG00000011260 1023 1030 925 1135 1111 919
ENSG00000011275 2489 2795 2217 2387 2975 2519
ENSG00000011295 826 744 706 884 894 740
ENSG00000011304 7918 9902 7614 9419 10069 8081
ENSG00000011332 81 93 86 38 42 50
ENSG00000011347 432 621 478 1494 751 601
ENSG00000011376 1308 1273 1229 1371 1532 1347
ENSG00000011405 1897 1720 1466 2047 2899 1906
ENSG00000011422 2706 2980 2514 5929 3672 3205
ENSG00000011426 3884 3807 3486 1628 2353 1709
ENSG00000011451 3291 4325 3100 2892 3738 3252
ENSG00000011454 1870 1789 1603 1813 2231 1672
ENSG00000011465 188246 168546 151265 175335 242898 191177
ENSG00000011478 557 664 535 564 471 435
